                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.4715,                0.96587,                0.98448,                0.21279,                0.96429,                0.31197,                0.16014,                 1.6085,                 6.1878,                0.98493,             0.00056556,             0.00056556,             0.00056556
                     36,                 1.6639,                0.87445,                 1.0183,                0.21279,                0.96429,                0.31197,                0.16014,                 1.6085,                 6.1878,                0.98493,             0.00057872,             0.00057872,             0.00057872
                     37,                 1.6172,                0.93652,                 1.0127,                0.25561,                0.96429,                0.50461,                0.24552,                 1.6195,                  5.483,                 0.9755,              0.0005917,              0.0005917,              0.0005917
                     38,                 1.7896,                0.88426,                 1.0062,                0.25561,                0.96429,                0.50461,                0.24552,                 1.6195,                  5.483,                 0.9755,             0.00060447,             0.00060447,             0.00060447
                     39,                 1.3569,                0.99387,                0.98248,                0.33213,                0.94643,                0.39605,                0.16716,                 1.9064,                 6.3152,                  1.063,             0.00061704,             0.00061704,             0.00061704
                     40,                 1.8626,                 0.9762,                 1.1218,                0.33213,                0.94643,                0.39605,                0.16716,                 1.9064,                 6.3152,                  1.063,             0.00062942,             0.00062942,             0.00062942
                     41,                  1.721,                0.95992,                 1.0693,                0.29544,                0.92857,                0.34946,                0.09272,                  2.506,                 6.9814,                 1.2137,              0.0006416,              0.0006416,              0.0006416
                     42,                 1.7788,                0.94681,                0.98994,                0.29544,                0.92857,                0.34946,                0.09272,                  2.506,                 6.9814,                 1.2137,             0.00065358,             0.00065358,             0.00065358
                     43,                 1.5575,                0.95374,                 1.0521,                0.25211,                0.93305,                0.46641,                0.17179,                  2.197,                 5.4189,                 1.0949,             0.00066536,             0.00066536,             0.00066536
                     44,                 1.8248,                0.94223,                0.99282,                0.25211,                0.93305,                0.46641,                0.17179,                  2.197,                 5.4189,                 1.0949,             0.00067695,             0.00067695,             0.00067695
                     45,                  1.539,                0.93649,                 1.0035,                0.21795,                      1,                0.43819,                0.20558,                 1.6987,                 6.2615,                 0.9937,             0.00068834,             0.00068834,             0.00068834
                     46,                  1.413,                 0.9695,                 1.0205,                0.21795,                      1,                0.43819,                0.20558,                 1.6987,                 6.2615,                 0.9937,             0.00069953,             0.00069953,             0.00069953
                     47,                 1.6752,                0.90548,                0.97458,                0.31436,                      1,                0.80271,                0.48633,                 1.3649,                 4.8717,                0.92921,             0.00071052,             0.00071052,             0.00071052
                     48,                 1.4756,                 1.0818,                 1.0575,                0.31436,                      1,                0.80271,                0.48633,                 1.3649,                 4.8717,                0.92921,             0.00072131,             0.00072131,             0.00072131
                     49,                 1.3949,                0.86979,                0.99767,                 0.5102,                0.98214,                0.82843,                0.52466,                 1.3967,                 3.8526,                0.93351,              0.0007319,              0.0007319,              0.0007319
