                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.3923,                  1.072,                 1.0825,                0.62133,                0.62592,                0.63685,                0.39785,                  1.429,                 1.1979,                 1.1788,              0.0016733,              0.0016733,              0.0016733
                     35,                 1.3983,                  1.079,                 1.1022,                0.65869,                0.60453,                0.64084,                0.39947,                 1.4215,                 1.1868,                 1.1703,              0.0016634,              0.0016634,              0.0016634
                     36,                 1.3756,                 1.0453,                 1.0872,                0.64238,                0.61166,                0.64157,                0.39825,                 1.4261,                 1.1552,                 1.1786,              0.0016535,              0.0016535,              0.0016535
                     37,                 1.3762,                 1.0536,                 1.1005,                0.62266,                0.61853,                0.64159,                0.39706,                 1.4247,                 1.1813,                 1.1781,              0.0016436,              0.0016436,              0.0016436
                     38,                 1.3627,                 1.0376,                 1.0853,                0.63445,                0.63401,                0.64121,                0.40646,                 1.4237,                 1.2223,                 1.1747,              0.0016337,              0.0016337,              0.0016337
                     39,                 1.3391,                 1.0537,                 1.0662,                0.67436,                0.59591,                0.64387,                0.39952,                 1.4432,                 1.1985,                 1.1892,              0.0016238,              0.0016238,              0.0016238
                     40,                 1.3404,                  1.007,                 1.0738,                0.63547,                0.59698,                0.62752,                0.39008,                 1.4543,                 1.2492,                 1.1919,              0.0016139,              0.0016139,              0.0016139
                     41,                 1.3618,                 1.0568,                  1.073,                0.62422,                0.61756,                0.63217,                0.39563,                 1.4291,                 1.2067,                 1.1803,               0.001604,               0.001604,               0.001604
                     42,                 1.3338,                 1.0152,                 1.0737,                0.63972,                 0.6056,                0.62836,                0.38061,                 1.4807,                 1.2383,                 1.1965,              0.0015941,              0.0015941,              0.0015941
                     43,                 1.3256,                 1.0079,                 1.0647,                0.64698,                0.63197,                0.65401,                0.40614,                 1.4211,                 1.1598,                  1.179,              0.0015842,              0.0015842,              0.0015842
                     44,                 1.3513,                 1.0224,                 1.0778,                0.65604,                0.62071,                0.64185,                0.40004,                 1.4259,                 1.2338,                 1.1767,              0.0015743,              0.0015743,              0.0015743
                     45,                  1.323,                 1.0309,                 1.0576,                0.62975,                0.62392,                0.63497,                0.39182,                 1.4611,                 1.2049,                 1.1876,              0.0015644,              0.0015644,              0.0015644
                     46,                 1.3173,                0.99485,                 1.0518,                0.64308,                0.59994,                0.63776,                0.39653,                  1.432,                 1.1904,                 1.1873,              0.0015545,              0.0015545,              0.0015545
                     47,                 1.3196,                 1.0006,                 1.0581,                0.64054,                0.62599,                0.65251,                0.40867,                 1.4043,                 1.1891,                 1.1747,              0.0015446,              0.0015446,              0.0015446
                     48,                 1.3208,                0.99255,                 1.0647,                0.63109,                0.60776,                0.63826,                0.40113,                 1.4248,                  1.177,                 1.1818,              0.0015347,              0.0015347,              0.0015347
                     49,                  1.304,                0.96328,                 1.0578,                0.64033,                0.60991,                 0.6412,                0.40231,                 1.4088,                 1.1928,                  1.169,              0.0015248,              0.0015248,              0.0015248
