                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 2.4037,                 1.0928,                 1.0851,                0.61076,                0.45535,                0.53029,                0.16476,                 2.6574,                 1.2487,                 1.1019,             0.00055219,             0.00055219,             0.00055219
                     35,                 2.4634,                 1.1751,                 1.0576,                0.59597,                0.47843,                 0.5267,                0.16732,                 2.6233,                 1.2551,                 1.0952,             0.00056556,             0.00056556,             0.00056556
                     36,                 2.1652,                 1.0125,                 1.0922,                0.59597,                0.47843,                 0.5267,                0.16732,                 2.6233,                 1.2551,                 1.0952,             0.00057872,             0.00057872,             0.00057872
                     37,                 2.4087,                 1.0867,                 1.0993,                0.62831,                0.49718,                0.55289,                0.17814,                 2.5769,                 1.2174,                 1.0884,              0.0005917,              0.0005917,              0.0005917
                     38,                 2.3541,                 1.0625,                 1.0891,                0.62831,                0.49718,                0.55289,                0.17814,                 2.5769,                 1.2174,                 1.0884,             0.00060447,             0.00060447,             0.00060447
                     39,                  2.193,                 1.0261,                 1.0846,                0.58675,                0.51783,                0.55259,                0.18068,                 2.5351,                 1.1746,                 1.0832,             0.00061704,             0.00061704,             0.00061704
                     40,                 2.2696,                 1.0153,                 1.0864,                0.58675,                0.51783,                0.55259,                0.18068,                 2.5351,                 1.1746,                 1.0832,             0.00062942,             0.00062942,             0.00062942
                     41,                 2.3488,                 1.0736,                 1.0627,                0.57906,                 0.5451,                 0.5572,                0.17846,                 2.5078,                 1.1286,                   1.08,              0.0006416,              0.0006416,              0.0006416
                     42,                 2.3295,                 1.0416,                 1.0377,                0.57906,                 0.5451,                 0.5572,                0.17846,                 2.5078,                 1.1286,                   1.08,             0.00065358,             0.00065358,             0.00065358
                     43,                 2.3215,                 1.0463,                 1.0675,                0.57028,                0.53604,                0.55766,                0.18277,                 2.4974,                 1.0976,                 1.0811,             0.00066536,             0.00066536,             0.00066536
                     44,                 2.3648,                 1.0657,                 1.0333,                0.57028,                0.53604,                0.55766,                0.18277,                 2.4974,                 1.0976,                 1.0811,             0.00067695,             0.00067695,             0.00067695
                     45,                 2.2003,                0.98995,                 1.0785,                0.55619,                0.55536,                0.54286,                0.17961,                 2.5228,                 1.0799,                  1.089,             0.00068834,             0.00068834,             0.00068834
                     46,                 2.2879,                 1.0507,                 1.0409,                0.55619,                0.55536,                0.54286,                0.17961,                 2.5228,                 1.0799,                  1.089,             0.00069953,             0.00069953,             0.00069953
                     47,                 2.3421,                  1.041,                 1.0584,                0.52752,                0.54902,                0.52892,                0.17156,                 2.5408,                 1.0839,                 1.0932,             0.00071052,             0.00071052,             0.00071052
                     48,                 2.2711,                 1.0025,                 1.0402,                0.52752,                0.54902,                0.52892,                0.17156,                 2.5408,                 1.0839,                 1.0932,             0.00072131,             0.00072131,             0.00072131
                     49,                 2.2131,                 1.0188,                 1.1137,                0.56448,                0.54386,                0.54643,                 0.1752,                 2.5013,                  1.093,                 1.0878,              0.0007319,              0.0007319,              0.0007319
                     50,                 2.2929,                 1.0393,                  1.032,                0.56448,                0.54386,                0.54643,                 0.1752,                 2.5013,                  1.093,                 1.0878,              0.0007423,              0.0007423,              0.0007423
                     51,                 2.2343,                 1.0232,                 1.0919,                0.50353,                0.56078,                0.55269,                0.18823,                 2.4395,                 1.0882,                 1.0779,              0.0007525,              0.0007525,              0.0007525
                     52,                 2.2412,                 1.0032,                 1.0611,                0.50353,                0.56078,                0.55269,                0.18823,                 2.4395,                 1.0882,                 1.0779,              0.0007625,              0.0007625,              0.0007625
                     53,                 2.1464,                 0.9853,                   1.03,                0.50353,                0.56078,                0.55269,                0.18823,                 2.4395,                 1.0882,                 1.0779,              0.0007723,              0.0007723,              0.0007723
                     54,                 2.1943,                 1.0171,                 1.0814,                 0.5865,                0.50588,                0.57229,                0.20488,                  2.358,                 1.0625,                 1.0649,             0.00078191,             0.00078191,             0.00078191
                     55,                 2.1533,                 1.0018,                 1.0827,                 0.5865,                0.50588,                0.57229,                0.20488,                  2.358,                 1.0625,                 1.0649,             0.00079132,             0.00079132,             0.00079132
                     56,                 2.2835,                 1.0315,                 1.0259,                 0.5865,                0.50588,                0.57229,                0.20488,                  2.358,                 1.0625,                 1.0649,             0.00080053,             0.00080053,             0.00080053
                     57,                  2.211,                 1.0049,                 1.0312,                 0.6046,                0.53333,                0.59134,                0.22829,                 2.2863,                 1.0069,                 1.0502,             0.00080954,             0.00080954,             0.00080954
                     58,                 2.3366,                 1.0148,                 1.0303,                 0.6046,                0.53333,                0.59134,                0.22829,                 2.2863,                 1.0069,                 1.0502,             0.00081835,             0.00081835,             0.00081835
                     59,                  2.148,                 0.9844,                 1.0789,                 0.6046,                0.53333,                0.59134,                0.22829,                 2.2863,                 1.0069,                 1.0502,             0.00082696,             0.00082696,             0.00082696
                     60,                 2.1517,                 0.9589,                 1.0787,                0.59007,                0.55294,                 0.5929,                0.23944,                 2.2647,                0.96741,                  1.047,             0.00083538,             0.00083538,             0.00083538
                     61,                 2.1856,                0.96807,                 1.0474,                0.59007,                0.55294,                 0.5929,                0.23944,                 2.2647,                0.96741,                  1.047,              0.0008436,              0.0008436,              0.0008436
                     62,                 2.0976,                0.95429,                 1.0554,                0.59007,                0.55294,                 0.5929,                0.23944,                 2.2647,                0.96741,                  1.047,             0.00085162,             0.00085162,             0.00085162
                     63,                 2.1415,                 0.9845,                 1.0331,                0.64682,                0.54902,                 0.6152,                0.24069,                 2.2508,                0.93858,                 1.0454,             0.00085944,             0.00085944,             0.00085944
